[23:38:19] === greece ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== greece ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/greece.parquet
wrote 45142 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/greece.parquet
pre-filter (--only-wikidata): 45142 -> 971 rows

971 polygons with wikidata=*
  matched:           463
  no en sitelink:    440
  no sitelinks:      68
  Q21555407 (greece/relation/1087753) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12884592 (greece/relation/1625563) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25069692 (greece/relation/35793849) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25117293 (greece/relation/35793043) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1209126 (greece/relation/1624811) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q492133 (greece/relation/1625525) -> matched: Antipaxos  [body: 799 chars]
  Q250229 (greece/relation/1138673) -> matched: Lazaretto Island  [body: 1116 chars]
  Q25017942 (greece/relation/2738335) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25094158 (greece/relation/22537755) -> matched: Nisída Ágios Nikólaos  [body: 415 chars]
  Q492087 (greece/relation/1063941) -> matched: Antimilos  [body: 1320 chars]
  Q12719479 (greece/relation/1094161) -> matched: Vous Island  [body: 450 chars]
  Q1540206 (greece/relation/1063945) -> matched: Polyaigos  [body: 1271 chars]
  Q1394410 (greece/relation/1094093) -> matched: Falkonera  [body: 2099 chars]
  Q25024340 (greece/relation/1063977) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q672343 (greece/way/20429548) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25118305 (greece/way/20432392) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21693634 (greece/way/20432414) -> matched: Tsimintiri  [body: 517 chars]
  Q16332258 (greece/way/20432430) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21693614 (greece/way/20432486) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21693596 (greece/way/20432500) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q386863 (greece/relation/1061485) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q776776 (greece/relation/1061567) -> matched: Schoinoussa  [body: 1882 chars]
  Q1259038 (greece/relation/1061563) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16332780 (greece/relation/1094185) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3561894 (greece/relation/1094147) -> matched: Serifopoula  [body: 436 chars]
  Q86601963 (greece/way/20439196) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1475379 (greece/relation/1062265) -> matched: Rineia  [body: 1262 chars]
  Q25018014 (greece/relation/35796289) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21682921 (greece/relation/4602189) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25023257 (greece/relation/35801759) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1711018 (greece/relation/35801763) -> matched: Koukonesi  [body: 628 chars]
  Q2458126 (greece/way/28343014) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25133869 (greece/way/28699586) -> no_lang_sitelink: (no article)  [body: 0 chars]
