[23:13:25] === estonia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== estonia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/estonia.parquet
pre-filter (--only-wikidata): 47160 -> 1125 rows

1125 polygons with wikidata=*
  matched:           316
  no en sitelink:    765
  no sitelinks:      44
  Q11966588 (estonia/way/90912730) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14405639 (estonia/way/90912828) -> matched: Naistekivi maa  [body: 127 chars]
  Q279167 (estonia/way/90913462) -> matched: Tartu Airport  [body: 2277 chars]
  Q7383432 (estonia/way/90913508) -> matched: Rutja Airfield  [body: 356 chars]
  Q56295386 (estonia/way/90913538) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16412655 (estonia/way/90913616) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q525908 (estonia/way/90913982) -> matched: Kesselaid  [body: 1654 chars]
  Q23888904 (estonia/way/90915772) -> matched: Kriimi laid  [body: 192 chars]
  Q7877303 (estonia/way/90918036) -> matched: Udrikulaid  [body: 700 chars]
  Q6950313 (estonia/way/90918042) -> matched: Mõndelaid  [body: 255 chars]
  Q4777774 (estonia/way/90918674) -> matched: Anulaid  [body: 495 chars]
  Q55228793 (estonia/way/90918822) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23889613 (estonia/way/90919406) -> matched: Ooslamaa  [body: 704 chars]
  Q7264858 (estonia/way/90919736) -> matched: Pühadekare  [body: 123 chars]
  Q11245858 (estonia/way/90928906) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11236722 (estonia/way/90928964) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23889931 (estonia/way/90937226) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7675348 (estonia/way/90937398) -> matched: Taguküla laid  [body: 126 chars]
  Q692172 (estonia/way/90937538) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4242094 (estonia/way/90937778) -> matched: Eerikulaid  [body: 122 chars]
  Q692226 (estonia/way/90937834) -> matched: Hõralaid  [body: 624 chars]
  Q3072513 (estonia/way/90937894) -> matched: Kõverlaid  [body: 1070 chars]
  Q7038203 (estonia/way/90938014) -> matched: Ninalaid  [body: 462 chars]
  Q3126780 (estonia/way/90938058) -> matched: Hanikatsi laid  [body: 1086 chars]
  Q3074259 (estonia/way/90938704) -> matched: Kõrgelaid  [body: 863 chars]
  Q3554711 (estonia/way/90938830) -> matched: Vareslaid (Väinameri)  [body: 530 chars]
  Q2827416 (estonia/way/90939390) -> matched: Ahelaid  [body: 1425 chars]
  Q786932 (estonia/way/90940150) -> matched: Kaevatsi  [body: 1093 chars]
  Q6454099 (estonia/way/90940168) -> matched: Külalaid  [body: 465 chars]
  Q7903523 (estonia/way/90940224) -> matched: Uuemaarahu  [body: 882 chars]
