[00:38:10] === belgium ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== belgium ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
wrote 125108 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
pre-filter (--only-wikidata): 125108 -> 1005 rows

1005 polygons with wikidata=*
  matched:           223
  no en sitelink:    706
  no sitelinks:      76
  Q2492208 (belgium/way/64863230) -> matched: Royal Bercuit Golf Club  [body: 880 chars]
  Q3593247 (belgium/way/65092264) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2073959 (belgium/way/65095210) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3593377 (belgium/way/65095644) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2111052 (belgium/relation/33221719) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1819975 (belgium/way/65132892) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21771865 (belgium/way/65586538) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3332508 (belgium/way/65822258) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1768082 (belgium/way/66073820) -> matched: Novolipetsk Steel  [body: 3115 chars]
  Q3363920 (belgium/way/66575360) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3334193 (belgium/way/66664152) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2650413 (belgium/way/67505758) -> matched: Leopoldsburg/Beverlo Airfield  [body: 771 chars]
  Q6818056 (belgium/way/67671718) -> no_sitelinks: (no article)  [body: 0 chars]
  Q19398143 (belgium/way/67676224) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16510005 (belgium/way/70073664) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q42432134 (belgium/way/70315342) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1830872 (belgium/way/71276600) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19828410 (belgium/way/71533320) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q56527853 (belgium/way/71916798) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21770505 (belgium/way/73657620) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15127141 (belgium/way/73657696) -> matched: Hippodrome de Wallonie  [body: 191 chars]
  Q2678888 (belgium/way/76338524) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q107008555 (belgium/way/76565262) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2523819 (belgium/way/76572716) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1801127 (belgium/way/77581402) -> matched: Laeken Park  [body: 1310 chars]
  Q3445974 (belgium/way/78242510) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q104217232 (belgium/way/78501238) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1928558 (belgium/relation/23482835) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2238599 (belgium/way/83208158) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3035208 (belgium/way/84035670) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2536144 (belgium/way/84038712) -> matched: Kortrijk-Wevelgem International Airport  [body: 1994 chars]
  Q3016976 (belgium/way/84187856) -> matched: Ploegsteert Wood  [body: 1717 chars]
  Q240119 (belgium/way/85884778) -> matched: Sint-Truiden / Brustem Airfield  [body: 6849 chars]
  Q2365563 (belgium/way/88200206) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q66530374 (belgium/way/88262114) -> no_sitelinks: (no article)  [body: 0 chars]
  Q7477129 (belgium/way/89609064) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q106466337 (belgium/way/90031016) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q59202325 (belgium/way/90095634) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q59202346 (belgium/way/90096356) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q59202326 (belgium/way/90096958) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1818342 (belgium/way/90135322) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2096728 (belgium/way/90711594) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1850065 (belgium/way/90711622) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q57585520 (belgium/way/90721560) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q57585586 (belgium/way/90721616) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1786053 (belgium/way/91204646) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q56303044 (belgium/way/92387086) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2054011 (belgium/way/92672652) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2875666 (belgium/way/94498722) -> matched: Verviers-Theux Airfield  [body: 357 chars]
