[02:02:42] === netherlands ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== netherlands ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/netherlands.parquet
wrote 169468 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/netherlands.parquet
pre-filter (--only-wikidata): 169468 -> 1738 rows

1738 polygons with wikidata=*
  matched:           283
  no en sitelink:    1307
  no sitelinks:      148
  Q128942128 (netherlands/way/12640220) -> no_sitelinks: (no article)  [body: 0 chars]
  Q128940737 (netherlands/way/12640482) -> no_sitelinks: (no article)  [body: 0 chars]
  Q15731365 (netherlands/way/12640484) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2459788 (netherlands/way/12640706) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1906142 (netherlands/way/12641324) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13644823 (netherlands/way/12641544) -> no_sitelinks: (no article)  [body: 0 chars]
  Q2354403 (netherlands/way/12641562) -> no_sitelinks: (no article)  [body: 0 chars]
  Q2486707 (netherlands/way/12641586) -> no_sitelinks: (no article)  [body: 0 chars]
  Q2657149 (netherlands/way/12641594) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1953565 (netherlands/way/12641614) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1976658 (netherlands/way/12641650) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2015348 (netherlands/way/12641698) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3033772 (netherlands/way/12641704) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2349783 (netherlands/relation/8917849) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2659223 (netherlands/way/12641756) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13726753 (netherlands/way/12641814) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2135268 (netherlands/way/12643200) -> no_lang_sitelink: (no article)  [body: 0 chars]
