[23:33:09] === iceland ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== iceland ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/iceland.parquet
wrote 47896 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/iceland.parquet
pre-filter (--only-wikidata): 47896 -> 471 rows

471 polygons with wikidata=*
  matched:           166
  no en sitelink:    302
  no sitelinks:      3
  Q945753 (iceland/relation/11640243) -> matched: Tjörnin  [body: 4333 chars]
  Q945753 (iceland/relation/11640241) -> matched: Tjörnin  [body: 4333 chars]
  Q1036708 (iceland/way/782784044) -> matched: Verzló  [body: 4047 chars]
  Q35709858 (iceland/way/791193876) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q17512580 (iceland/way/792123502) -> matched: Mývatn Airport  [body: 400 chars]
  Q16421584 (iceland/way/822393768) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2930167 (iceland/way/822393796) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3041840 (iceland/way/822393802) -> matched: Dverghamrar  [body: 1671 chars]
  Q108199889 (iceland/way/822393834) -> no_sitelinks: (no article)  [body: 0 chars]
  Q27016242 (iceland/way/826222942) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4701979 (iceland/way/840651862) -> matched: Akureyri Junior College  [body: 2466 chars]
  Q139921 (iceland/way/841557240) -> matched: Keflavík International Airport  [body: 10320 chars]
  Q1474799 (iceland/way/843366050) -> matched: Torfajökull  [body: 8437 chars]
  Q1463356 (iceland/way/850353318) -> matched: University of Akureyri  [body: 8060 chars]
  Q35703092 (iceland/way/850384692) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49312133 (iceland/relation/14957705) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49316749 (iceland/relation/14957701) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2765758 (iceland/relation/35024675) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q335712 (iceland/way/947997530) -> matched: Þrándarjökull  [body: 487 chars]
  Q111357016 (iceland/way/1021128710) -> no_sitelinks: (no article)  [body: 0 chars]
  Q49309917 (iceland/way/1028706022) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35705754 (iceland/relation/14953739) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35706512 (iceland/relation/14960287) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10852724 (iceland/way/1033739502) -> matched: SuperDARN  [body: 7919 chars]
  Q10852724 (iceland/way/1033742872) -> matched: SuperDARN  [body: 7919 chars]
  Q568034 (iceland/way/1034084418) -> matched: Blanda Power Station  [body: 538 chars]
  Q49305163 (iceland/relation/604431) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35709637 (iceland/way/1083504610) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49306727 (iceland/way/1084790616) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2925992 (iceland/relation/15520499) -> matched: Brokey  [body: 477 chars]
  Q35710615 (iceland/relation/15744751) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1433313 (iceland/way/1127480152) -> matched: Ísafjörður Airport  [body: 2644 chars]
  Q11824851 (iceland/way/1128049160) -> matched: Þingeyri Airport  [body: 411 chars]
  Q27016229 (iceland/way/1128054630) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q17511382 (iceland/way/1128079560) -> matched: Stykkishólmur Airport  [body: 545 chars]
  Q17511968 (iceland/way/1128080758) -> matched: Grundarfjörður Airport  [body: 369 chars]
  Q12694700 (iceland/way/1128083006) -> matched: Rif Airport  [body: 600 chars]
  Q3472057 (iceland/way/1128086160) -> matched: Sandskeið  [body: 1556 chars]
  Q2875913 (iceland/way/1128088464) -> matched: Selfoss Airport  [body: 461 chars]
  Q2235522 (iceland/way/1128094684) -> matched: Vestmannaeyjar Airport  [body: 3616 chars]
  Q17509913 (iceland/way/1128103406) -> matched: Fagurhólsmýri Airport  [body: 401 chars]
  Q974363 (iceland/way/1128124490) -> matched: Egilsstaðir Airport  [body: 3117 chars]
  Q2875989 (iceland/way/1128125802) -> matched: Vopnafjörður Airport  [body: 452 chars]
  Q12693418 (iceland/way/1128131874) -> matched: Kópasker Airport  [body: 290 chars]
  Q1430749 (iceland/way/1128133800) -> matched: Akureyri Airport  [body: 6320 chars]
  Q2875830 (iceland/way/1128134952) -> matched: Grímsey Airport  [body: 487 chars]
  Q3275842 (iceland/way/1128139428) -> matched: Gjögur Airport  [body: 1266 chars]
  Q12693056 (iceland/way/1128140404) -> matched: Hólmavík Airport  [body: 362 chars]
  Q34798775 (iceland/relation/16119385) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49309913 (iceland/relation/16130277) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27013193 (iceland/way/1166593494) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16420323 (iceland/way/1166598734) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35710630 (iceland/relation/16492105) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q33645050 (iceland/relation/16577723) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1357485 (iceland/way/1182173776) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16420956 (iceland/relation/16721447) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27012288 (iceland/relation/5166229) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27014578 (iceland/relation/16775739) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1616047 (iceland/relation/24151991) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27008701 (iceland/relation/16827523) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97258201 (iceland/relation/16771121) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35704653 (iceland/relation/16830775) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97260195 (iceland/way/1227011200) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q423817 (iceland/relation/16790583) -> matched: Akurey  [body: 403 chars]
  Q1145793 (iceland/relation/17200869) -> matched: Rauðhólar (Reykjavík)  [body: 4141 chars]
  Q16425159 (iceland/relation/17653267) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3118633 (iceland/relation/17670303) -> matched: Grótta  [body: 934 chars]
  Q2944551 (iceland/relation/18182827) -> matched: Svartsengi power station  [body: 5796 chars]
  Q893527 (iceland/relation/18218715) -> matched: Borgarey  [body: 841 chars]
  Q30005361 (iceland/relation/18509839) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q38110900 (iceland/relation/18724795) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97259443 (iceland/relation/18768475) -> matched: Reynisvatn  [body: 224 chars]
  Q16419319 (iceland/relation/18778939) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97258621 (iceland/relation/18763049) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11824639 (iceland/way/1380988626) -> matched: Norðfjörður Airport  [body: 467 chars]
  Q11824702 (iceland/way/1380993584) -> matched: Raufarhöfn Airport  [body: 447 chars]
  Q49309918 (iceland/way/1408699048) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6981898 (iceland/way/1410207362) -> matched: Naval Radio Transmitter Facility Grindavik  [body: 4946 chars]
  Q27009757 (iceland/relation/19685269) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1422518 (iceland/relation/20652297) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27000553 (iceland/relation/19875033) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27003786 (iceland/relation/19876313) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20575666 (iceland/relation/19930747) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27000581 (iceland/way/1453974100) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49316951 (iceland/relation/20321279) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97259890 (iceland/relation/17213061) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q64145427 (iceland/relation/10888133) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16426778 (iceland/relation/5166135) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q5962968 (iceland/relation/20597101) -> matched: Háaleiti og Bústaðir  [body: 344 chars]
  Q772859 (iceland/way/1493424668) -> matched: Bakki Airport  [body: 360 chars]
  Q35735695 (iceland/relation/20724291) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q693330 (iceland/way/1511691060) -> matched: Nesjavellir Geothermal Power Station  [body: 1327 chars]
  Q27002111 (iceland/relation/21067035) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49305708 (iceland/relation/17669225) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q335859 (iceland/relation/21933787) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27012263 (iceland/relation/20199115) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27013354 (iceland/relation/20199113) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1405353 (iceland/relation/22315477) -> matched: Sólheimajökull  [body: 762 chars]
  Q1124790 (iceland/relation/138079) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q106107081 (iceland/relation/22466545) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q106107342 (iceland/relation/22498657) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16428275 (iceland/relation/22511303) -> matched: Hrappsey  [body: 145 chars]
  Q536424 (iceland/relation/138137) -> matched: Hreðavatn  [body: 598 chars]
  Q913889 (iceland/relation/22549189) -> matched: Hjörsey  [body: 416 chars]
  Q35702811 (iceland/relation/22687283) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27011116 (iceland/relation/17659595) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q151212 (iceland/relation/23460209) -> matched: Laugardalsvöllur  [body: 5417 chars]
  Q894659 (iceland/relation/9327431) -> matched: Reykjavík Botanic Garden  [body: 741 chars]
  Q16423173 (iceland/relation/7982047) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1515779 (iceland/relation/23522059) -> matched: Papey  [body: 1537 chars]
  Q14915741 (iceland/relation/20697681) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16421015 (iceland/relation/20697675) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16419988 (iceland/relation/20697677) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35718162 (iceland/relation/23580471) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q631719 (iceland/relation/23584333) -> matched: Hrísey  [body: 1937 chars]
  Q1474041 (iceland/relation/14941723) -> matched: Vaglaskógur  [body: 336 chars]
  Q1019521 (iceland/relation/16695593) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1439415 (iceland/relation/16695595) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2147154 (iceland/relation/16695597) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2455730 (iceland/relation/16695601) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16422415 (iceland/relation/23915815) -> matched: Miklavatn (Fljót)  [body: 933 chars]
  Q16421900 (iceland/relation/18704735) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16420408 (iceland/relation/23968239) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16424472 (iceland/relation/24062077) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49301746 (iceland/relation/24062079) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16421066 (iceland/relation/18106893) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2147159 (iceland/relation/18161917) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16423607 (iceland/relation/18106875) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20574275 (iceland/relation/24151975) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1278493 (iceland/relation/24151993) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1632353 (iceland/relation/24151997) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1879558 (iceland/relation/24151999) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1145380 (iceland/relation/17208101) -> matched: Heiðmörk  [body: 5534 chars]
