[03:31:13] === austria ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== austria ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/austria.parquet
pre-filter (--only-wikidata): 133711 -> 1245 rows

1245 polygons with wikidata=*
  matched:           284
  no en sitelink:    875
  no sitelinks:      86
  Q1375496 (austria/way/45748046) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1261495 (austria/way/45833282) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q94381334 (austria/way/45857748) -> no_sitelinks: (no article)  [body: 0 chars]
  Q450465 (austria/way/45964576) -> matched: Donau Zentrum  [body: 3542 chars]
  Q667591 (austria/way/46174842) -> matched: Shopping City Süd  [body: 2781 chars]
  Q449184 (austria/way/46299852) -> matched: Gepatschspeicher  [body: 548 chars]
  Q1149072 (austria/way/46786176) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6710857 (austria/way/46798758) -> matched: Längentalspeicher  [body: 46 chars]
  Q1786255 (austria/way/46799342) -> matched: Finstertalspeicher  [body: 52 chars]
  Q25767730 (austria/way/46799344) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1255560 (austria/way/46850728) -> matched: Ferchensee  [body: 187 chars]
  Q871854 (austria/way/47169800) -> matched: PlusCity  [body: 472 chars]
  Q1551810 (austria/way/47272892) -> matched: Grünausee  [body: 38 chars]
  Q29982430 (austria/way/47318160) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q98215790 (austria/way/47573086) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2326154 (austria/way/48446658) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2478701 (austria/way/48506500) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1516335 (austria/way/48575374) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21863666 (austria/way/49328986) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1607811 (austria/way/49352140) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q110490272 (austria/way/49462364) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q107122734 (austria/way/49555364) -> no_sitelinks: (no article)  [body: 0 chars]
  Q21874869 (austria/way/49622984) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q115616371 (austria/way/49643268) -> no_sitelinks: (no article)  [body: 0 chars]
  Q37716603 (austria/way/49921258) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21861704 (austria/way/49934896) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21864053 (austria/way/50035252) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2346141 (austria/way/50089196) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q900422 (austria/way/50296574) -> matched: Zipf Brewery  [body: 5451 chars]
  Q1330363 (austria/way/50410298) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2450125 (austria/way/50663958) -> matched: Traualpsee  [body: 264 chars]
  Q104590784 (austria/way/50823994) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q877303 (austria/way/50889892) -> matched: Langbathseen  [body: 268 chars]
  Q2098323 (austria/way/50969780) -> matched: Plansee SE  [body: 9150 chars]
  Q1397671 (austria/way/51118184) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1981721 (austria/way/51153880) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2329057 (austria/way/51259498) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21104510 (austria/way/51304260) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q123196257 (austria/way/51465616) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1494588 (austria/way/51471870) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q277994 (austria/way/51882670) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q999211 (austria/way/51906498) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q139886811 (austria/way/51946186) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1509558 (austria/way/51988864) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2305900 (austria/way/52256300) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1397524 (austria/way/52426646) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26245992 (austria/way/52448036) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q111709405 (austria/way/52476832) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16832842 (austria/way/52555190) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1017067 (austria/way/52564812) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2334726 (austria/way/52610674) -> matched: Stausee Margaritze  [body: 100 chars]
  Q59771407 (austria/way/52694272) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21879079 (austria/way/52740110) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1799298 (austria/way/52781070) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q107652608 (austria/way/52797558) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2550738 (austria/way/52802184) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61483621 (austria/way/52811988) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q111082984 (austria/way/52870408) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1266722 (austria/way/52946920) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2542762 (austria/way/53205814) -> matched: Wallersee  [body: 866 chars]
  Q726700 (austria/way/53280966) -> matched: Donaupark  [body: 3706 chars]
  Q877421 (austria/way/53283898) -> matched: University of Veterinary Medicine Vienna  [body: 935 chars]
  Q28004658 (austria/way/53288032) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21863731 (austria/way/53326180) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q41473682 (austria/way/53493392) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q336097 (austria/way/53549468) -> matched: Danube–Oder Canal  [body: 2287 chars]
  Q909524 (austria/way/53638374) -> matched: Brennsee  [body: 1386 chars]
  Q387919 (austria/way/53641058) -> matched: Afritzer See  [body: 706 chars]
  Q21875133 (austria/way/53700880) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q697492 (austria/way/53826736) -> matched: Palfinger  [body: 6788 chars]
  Q61674412 (austria/way/54014818) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23256 (austria/way/54115624) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1598412 (austria/way/54177050) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q82035889 (austria/way/54415768) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1799309 (austria/way/54424572) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q702260 (austria/way/54892102) -> matched: Lake Ossiach  [body: 1733 chars]
  Q119308532 (austria/way/54964988) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q453664 (austria/way/55280116) -> matched: Maltschacher See  [body: 899 chars]
  Q21863932 (austria/way/55289070) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q459825 (austria/way/55305144) -> matched: Rosenbauer  [body: 3881 chars]
  Q1748774 (austria/way/55423454) -> matched: Vassacher See  [body: 257 chars]
  Q1484685 (austria/way/55465752) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1355337 (austria/way/55505628) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1158820 (austria/way/55515602) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q622683 (austria/way/55518024) -> matched: University of Graz  [body: 41600 chars]
  Q2478707 (austria/way/55526958) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q998879 (austria/way/55591790) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21875141 (austria/relation/76959) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1609665 (austria/way/55917736) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1477256 (austria/relation/96155) -> matched: Rannasee  [body: 670 chars]
  Q2265656 (austria/way/56200030) -> matched: Seestadt Aspern  [body: 4275 chars]
  Q18857133 (austria/way/56868296) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q103929410 (austria/way/57021218) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1883862 (austria/way/57072854) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14638557 (austria/way/57239032) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q611115 (austria/way/57436588) -> matched: Swarovski  [body: 15858 chars]
  Q1484483 (austria/way/57837280) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16899224 (austria/way/58137414) -> matched: Reutte-Höfen Airfield  [body: 237 chars]
  Q16839367 (austria/way/58387648) -> matched: Gmunden Laakirchen Airfield  [body: 331 chars]
  Q16899838 (austria/way/58387650) -> matched: Scharnstein Airport  [body: 313 chars]
  Q877014 (austria/way/58388704) -> matched: Laudachsee  [body: 279 chars]
  Q14523328 (austria/relation/121487) -> matched: Schloss Leopoldskron  [body: 6937 chars]
  Q1191602 (austria/way/58541494) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1802295 (austria/way/58603804) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q110804347 (austria/way/58606084) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q37927090 (austria/way/58613238) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1647675 (austria/way/58613364) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q694363 (austria/way/58727370) -> matched: Wels Airport  [body: 495 chars]
  Q21875514 (austria/way/58872990) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21875532 (austria/way/58873002) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21875507 (austria/way/58873012) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21876731 (austria/way/58873336) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21876729 (austria/way/58873340) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21876728 (austria/way/58873344) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21876740 (austria/way/58873360) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21861687 (austria/way/58878724) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q108143548 (austria/way/58878910) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q123353100 (austria/way/58879172) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q427860 (austria/way/58926710) -> matched: Nassfeld  [body: 1215 chars]
  Q21881514 (austria/way/58950424) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q700852 (austria/way/59132216) -> matched: Linz Airport  [body: 16118 chars]
  Q2500790 (austria/way/59194590) -> matched: Urisee  [body: 35 chars]
  Q21859950 (austria/way/59315100) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1433680 (austria/way/59474750) -> matched: Krems-Langenlois Airport  [body: 405 chars]
  Q864967 (austria/way/59506292) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1433875 (austria/way/59568754) -> matched: Sankt Johann Airfield  [body: 311 chars]
  Q689419 (austria/way/59747110) -> matched: Zell am See Airport  [body: 485 chars]
  Q1530128 (austria/way/59759688) -> matched: Lake Turner  [body: 1010 chars]
  Q528302 (austria/way/59760626) -> matched: Kleinsee  [body: 396 chars]
  Q687150 (austria/way/59762166) -> matched: Lake Klopein  [body: 2954 chars]
  Q871728 (austria/way/59897756) -> matched: Lake Pressegg  [body: 617 chars]
  Q1774626 (austria/way/60188004) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2155364 (austria/way/60263072) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1507502 (austria/way/60507354) -> matched: Urbansee  [body: 127 chars]
  Q1534303 (austria/way/60507360) -> matched: Goggausee  [body: 1246 chars]
  Q2317440 (austria/way/60530702) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q694404 (austria/way/60532008) -> matched: Klagenfurt Airport  [body: 5612 chars]
  Q21874664 (austria/way/60533272) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1585638 (austria/way/60592312) -> matched: Längsee (Tyrol)  [body: 78 chars]
  Q1395407 (austria/way/60689222) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q106654080 (austria/way/60689428) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1688072 (austria/way/60701804) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q871716 (austria/way/60702246) -> matched: Farchtensee  [body: 3145 chars]
  Q107673203 (austria/way/60715118) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q107741723 (austria/way/60715756) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q107673316 (austria/way/60716052) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16891419 (austria/way/60737566) -> matched: Friesach/Hirt Airfield  [body: 236 chars]
  Q1879227 (austria/way/60789920) -> matched: Längsee (Kärnten)  [body: 100 chars]
  Q14638544 (austria/way/60789922) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2253820 (austria/way/61024270) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20882911 (austria/way/61025256) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q134932466 (austria/way/61026670) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q251538 (austria/way/61028540) -> matched: Salzburg Airport  [body: 4598 chars]
  Q131742325 (austria/way/61028880) -> no_sitelinks: (no article)  [body: 0 chars]
  Q117021433 (austria/way/61030740) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21862588 (austria/way/61041418) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16319654 (austria/way/61042496) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21863920 (austria/way/61065932) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21876986 (austria/way/61065938) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21865479 (austria/way/61065980) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21863673 (austria/way/61066050) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21865142 (austria/way/61066144) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21861208 (austria/way/61066158) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21864645 (austria/way/61066162) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21861113 (austria/way/61066168) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21873851 (austria/way/61066220) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q889698 (austria/way/61066258) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q107296040 (austria/way/61066266) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21862608 (austria/way/61066376) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1468791 (austria/way/61066394) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21865636 (austria/way/61066438) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21871392 (austria/way/61066458) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q293946 (austria/way/61066492) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1273412 (austria/way/61066744) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q64765083 (austria/way/61103906) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q675567 (austria/relation/4868525) -> matched: Piber Federal Stud  [body: 6213 chars]
  Q21881512 (austria/way/61151982) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14638567 (austria/relation/4349869) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q874025 (austria/way/61218850) -> matched: Brennersee  [body: 784 chars]
  Q14531655 (austria/way/61798738) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1589817 (austria/way/62510790) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q477846 (austria/way/62579370) -> matched: Dürnrohr Power Station  [body: 1110 chars]
  Q699533 (austria/way/62948868) -> matched: Villach Hauptbahnhof  [body: 1444 chars]
  Q1484396 (austria/way/63704668) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21864747 (austria/way/64028948) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q54634346 (austria/way/64030234) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21874098 (austria/way/64030304) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21868341 (austria/way/64030306) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19971244 (austria/way/64102384) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q821228 (austria/way/65385888) -> matched: Triboldingerbohl  [body: 1816 chars]
  Q1433926 (austria/way/65413322) -> matched: Völtendorf Airport  [body: 309 chars]
  Q2117276 (austria/way/66921974) -> matched: Puckinger See  [body: 2160 chars]
  Q1589507 (austria/way/68403924) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1521834 (austria/way/68404048) -> no_lang_sitelink: (no article)  [body: 0 chars]
